nom_molecule,classement_1,classement_2,diff_classement
CHEBI_66668.csv,226,708,482
CHEBI_66667.csv,227,701,474
CHEBI_131582.csv,261,731,470
CHEBI_50731.csv,259,726,467
CHEBI_47459.csv,254,721,467
CHEBI_5780.csv,263,729,466
CHEBI_73096.csv,251,717,466
CHEBI_74406.csv,256,722,466
CHEBI_60060.csv,257,723,466
CHEBI_90215.csv,264,714,450
CHEBI_137300.csv,236,661,425
CHEBI_73115.csv,242,657,415
CHEBI_137302.csv,248,663,415
CHEBI_60049.csv,265,675,410
CHEBI_73113.csv,255,665,410
CHEBI_90955.csv,235,643,408
CHEBI_3791.csv,244,648,404
CHEBI_61721.csv,258,656,398
CHEBI_3790.csv,245,629,384
CHEBI_58632.csv,268,651,383
CHEBI_60532.csv,230,607,377
CHEBI_136887.csv,335,704,369
CHEBI_30033.csv,381,749,368
CHEBI_139291.csv,377,745,368
CHEBI_15431.csv,379,747,368
CHEBI_57942.csv,332,700,368
CHEBI_62802.csv,384,732,348
CHEBI_83739.csv,272,610,338
CHEBI_74628.csv,294,630,336
CHEBI_83350.csv,274,609,335
CHEBI_58741.csv,292,619,327
CHEBI_58416.csv,288,612,324
CHEBI_17627.csv,289,613,324
CHEBI_36301.csv,279,602,323
CHEBI_60062.csv,284,603,319
CHEBI_61720.csv,303,620,317
CHEBI_9603.csv,225,533,308
CHEBI_6556.csv,436,733,297
CHEBI_142059.csv,450,744,294
CHEBI_90849.csv,389,683,294
CHEBI_139242.csv,391,685,294
CHEBI_131587.csv,390,684,294
CHEBI_132634.csv,447,740,293
CHEBI_90792.csv,394,679,285
CHEBI_2429.csv,431,715,284
CHEBI_132636.csv,448,728,280
CHEBI_90963.csv,327,599,272
CHEBI_70553.csv,451,719,268
CHEBI_4321.csv,229,490,261
CHEBI_68438.csv,317,574,257
CHEBI_156448.csv,461,716,255
CHEBI_55376.csv,319,573,254
CHEBI_2414.csv,403,654,251
CHEBI_132635.csv,445,692,247
CHEBI_68365.csv,433,680,247
CHEBI_68369.csv,406,653,247
CHEBI_58688.csv,328,567,239
CHEBI_66017.csv,228,453,225
CHEBI_83357.csv,370,592,222
CHEBI_68364.csv,460,681,221
CHEBI_83348.csv,361,578,217
CHEBI_60153.csv,457,671,214
CHEBI_28599.csv,249,457,208
CHEBI_62811.csv,392,585,193
CHEBI_35916.csv,220,410,190
CHEBI_90214.csv,366,556,190
CHEBI_9240.csv,401,589,188
CHEBI_36058.csv,222,408,186
CHEBI_36183.csv,237,422,185
CHEBI_62813.csv,374,559,185
CHEBI_193573.csv,437,621,184
CHEBI_68368.csv,459,642,183
CHEBI_132629.csv,412,595,183
CHEBI_52247.csv,339,521,182
CHEBI_70499.csv,446,625,179
CHEBI_132642.csv,411,590,179
CHEBI_136841.csv,313,491,178
CHEBI_131588.csv,314,492,178
CHEBI_60530.csv,316,494,178
CHEBI_64668.csv,320,496,176
CHEBI_62808.csv,321,497,176
CHEBI_132645.csv,458,631,173
CHEBI_22686.csv,375,547,172
CHEBI_139237.csv,378,546,168
CHEBI_83281.csv,338,506,168
CHEBI_76032.csv,250,415,165
CHEBI_132633.csv,441,605,164
CHEBI_15433.csv,376,540,164
CHEBI_91128.csv,367,531,164
CHEBI_68384.csv,221,384,163
CHEBI_51221.csv,368,530,162
CHEBI_28966.csv,359,517,158
CHEBI_7849.csv,442,600,158
CHEBI_61290.csv,362,520,158
CHEBI_132253.csv,369,527,158
CHEBI_62806.csv,358,515,157
CHEBI_3187.csv,420,577,157
CHEBI_132631.csv,405,561,156
CHEBI_62809.csv,352,508,156
CHEBI_52202.csv,371,526,155
CHEBI_73373.csv,260,411,151
CHEBI_52489.csv,385,536,151
CHEBI_60490.csv,267,414,147
CHEBI_90857.csv,233,378,145
CHEBI_35948.csv,404,548,144
CHEBI_81552.csv,276,417,141
CHEBI_38259.csv,262,401,139
CHEBI_70507.csv,566,705,139
CHEBI_138462.csv,572,711,139
CHEBI_77667.csv,293,430,137
CHEBI_29534.csv,573,710,137
CHEBI_62812.csv,309,446,137
CHEBI_52243.csv,300,436,136
CHEBI_132637.csv,415,551,136
CHEBI_6980.csv,574,709,135
CHEBI_132630.csv,426,558,132
CHEBI_35650.csv,575,707,132
CHEBI_47402.csv,576,706,130
CHEBI_18230.csv,247,377,130
CHEBI_65978.csv,223,353,130
CHEBI_142754.csv,424,553,129
CHEBI_50385.csv,306,434,128
CHEBI_60454.csv,307,435,128
CHEBI_55348.csv,577,703,126
CHEBI_66124.csv,568,693,125
CHEBI_139553.csv,343,468,125
CHEBI_28956.csv,571,696,125
CHEBI_16147.csv,570,694,124
CHEBI_139546.csv,353,476,123
CHEBI_66163.csv,579,702,123
CHEBI_81545.csv,354,475,121
CHEBI_136421.csv,580,699,119
CHEBI_91131.csv,239,357,118
CHEBI_16673.csv,355,472,117
CHEBI_67302.csv,581,698,117
CHEBI_90969.csv,348,464,116
CHEBI_81551.csv,347,463,116
CHEBI_81544.csv,345,461,116
CHEBI_50162.csv,582,697,115
CHEBI_15432.csv,344,458,114
CHEBI_26355.csv,340,452,112
CHEBI_88046.csv,567,678,111
CHEBI_28783.csv,315,425,110
CHEBI_81548.csv,341,450,109
CHEBI_68359.csv,416,525,109
CHEBI_60063.csv,266,375,109
CHEBI_35632.csv,569,677,108
CHEBI_61717.csv,342,449,107
CHEBI_60061.csv,318,424,106
CHEBI_90968.csv,253,355,102
CHEBI_51585.csv,295,395,100
CHEBI_57855.csv,232,330,98
CHEBI_83377.csv,325,423,98
CHEBI_62810.csv,246,342,96
CHEBI_60053.csv,252,348,96
CHEBI_2480.csv,591,686,95
CHEBI_90967.csv,298,391,93
CHEBI_32296.csv,583,676,93
CHEBI_91291.csv,336,429,93
CHEBI_62807.csv,326,418,92
CHEBI_90791.csv,364,454,90
CHEBI_132788.csv,218,307,89
CHEBI_90211.csv,302,386,84
CHEBI_156447.csv,440,519,79
CHEBI_66669.csv,224,300,76
CHEBI_69125.csv,434,510,76
CHEBI_4768.csv,407,483,76
CHEBI_55377.csv,125,198,73
CHEBI_85715.csv,32,102,70
CHEBI_139240.csv,290,359,69
CHEBI_132641.csv,413,481,68
CHEBI_60344.csv,349,416,67
CHEBI_30409.csv,35,101,66
CHEBI_60504.csv,34,100,66
CHEBI_60357.csv,33,99,66
CHEBI_83373.csv,270,332,62
CHEBI_49805.csv,330,389,59
CHEBI_136512.csv,350,405,55
CHEBI_90964.csv,351,406,55
CHEBI_68294.csv,696,750,54
CHEBI_230243.csv,438,489,51
CHEBI_90795.csv,283,334,51
CHEBI_66337.csv,439,488,49
CHEBI_176569.csv,456,505,49
CHEBI_68362.csv,429,477,48
CHEBI_62814.csv,308,354,46
CHEBI_73299.csv,278,323,45
CHEBI_60562.csv,282,327,45
CHEBI_51605.csv,296,340,44
CHEBI_64421.csv,219,263,44
CHEBI_52491.csv,281,324,43
CHEBI_2625.csv,189,231,42
CHEBI_15434.csv,277,319,42
CHEBI_139292.csv,297,339,42
CHEBI_69867.csv,643,682,39
CHEBI_66646.csv,710,748,38
CHEBI_35648.csv,711,746,35
CHEBI_55313.csv,132,167,35
CHEBI_488385.csv,134,168,34
CHEBI_10016.csv,187,221,34
CHEBI_8809.csv,217,250,33
CHEBI_31185.csv,133,166,33
CHEBI_136458.csv,712,742,30
CHEBI_58239.csv,702,730,28
CHEBI_132632.csv,432,459,27
CHEBI_136451.csv,708,734,26
CHEBI_90965.csv,324,349,25
CHEBI_55340.csv,714,739,25
CHEBI_5765.csv,703,727,24
CHEBI_58461.csv,715,738,23
CHEBI_60492.csv,241,264,23
CHEBI_2619.csv,43,66,23
CHEBI_66121.csv,716,737,21
CHEBI_58575.csv,704,725,21
CHEBI_64079.csv,41,62,21
CHEBI_67307.csv,644,664,20
CHEBI_7465.csv,698,718,20
CHEBI_141914.csv,408,428,20
CHEBI_173096.csv,37,56,19
CHEBI_17699.csv,705,724,19
CHEBI_31174.csv,40,59,19
CHEBI_143131.csv,717,736,19
CHEBI_86244.csv,123,142,19
CHEBI_17679.csv,195,213,18
CHEBI_27776.csv,191,209,18
CHEBI_63587.csv,77,94,17
CHEBI_53750.csv,718,735,17
CHEBI_137535.csv,409,426,17
CHEBI_70711.csv,78,95,17
CHEBI_6601.csv,645,662,17
CHEBI_70710.csv,76,93,17
CHEBI_35997.csv,11,27,16
CHEBI_35999.csv,12,28,16
CHEBI_9506.csv,42,58,16
CHEBI_63168.csv,149,164,15
CHEBI_15982.csv,196,210,14
CHEBI_64080.csv,46,60,14
CHEBI_37850.csv,16,30,14
CHEBI_4387.csv,423,437,14
CHEBI_207229.csv,584,598,14
CHEBI_7509.csv,707,720,13
CHEBI_66154.csv,172,184,12
CHEBI_77618.csv,153,165,12
CHEBI_140980.csv,58,70,12
CHEBI_16408.csv,148,160,12
CHEBI_48581.csv,54,65,11
CHEBI_28911.csv,193,204,11
CHEBI_78351.csv,15,25,10
CHEBI_47900.csv,38,48,10
CHEBI_65497.csv,663,673,10
CHEBI_37376.csv,60,69,9
CHEBI_81546.csv,271,280,9
CHEBI_30619.csv,273,282,9
CHEBI_66529.csv,110,119,9
CHEBI_6824.csv,45,54,9
CHEBI_66528.csv,109,118,9
CHEBI_136513.csv,243,252,9
CHEBI_38203.csv,176,185,9
CHEBI_48572.csv,197,206,9
CHEBI_63167.csv,155,163,8
CHEBI_83356.csv,280,288,8
CHEBI_67311.csv,664,672,8
CHEBI_229724.csv,200,208,8
