Name,Bouboule,Coin bouboule,Coin pas ouvert,Coin ouvert mais DL aux jonctions,Coin ouvert
CHEBI:9168,,0,0,0,0,0
CHEBI:17708,,0,0,0,0,0
CHEBI:17783,,0,0,0,0,0
CHEBI:17010,,0,0,0,0,0
CHEBI:16318,,0,0,0,0,0
CHEBI:17561,,0,0,0,0,0
CHEBI:18251,,0,0,0,0,0
CHEBI:18075,,0,0,0,0,0
CHEBI:17604,,0,0,0,0,0
CHEBI:18019,,0,0,0,0,0
CHEBI:16123,0 ,1,0,0,0,0
CHEBI:27454,,0,0,0,0,0
CHEBI:17969,,0,0,0,0,0
CHEBI:16320,,0,0,0,0,0
CHEBI:18425,,0,0,0,0,0
CHEBI:16485,,0,0,0,0,0
CHEBI:15652,,0,0,0,0,0
CHEBI:16864,,0,0,0,0,0
CHEBI:15766,,0,0,0,0,0
CHEBI:17966,,0,0,0,0,0
CHEBI:27438,,0,0,0,0,0
CHEBI:17177,,0,0,0,0,0
CHEBI:18115,,0,0,0,0,0
CHEBI:16474,,0,0,0,0,0
CHEBI:17860,,0,0,0,0,0
CHEBI:16725,,0,0,0,0,0
CHEBI:17712,,0,0,0,0,0
CHEBI:17582,,0,0,0,0,0
CHEBI:18384,,0,0,0,0,0
CHEBI:15558,,0,0,0,0,0
CHEBI:3082,,0,0,0,0,0
CHEBI:15674,,0,0,0,0,0
CHEBI:15569,,0,0,0,0,0
CHEBI:17082,,0,0,0,0,0
CHEBI:15714,,0,0,0,0,0
CHEBI:15513,,0,0,0,0,0
CHEBI:3353,,0,0,0,0,0
CHEBI:15636,,0,0,0,0,0
CHEBI:16430,,0,0,0,0,0
CHEBI:15622,,0,0,0,0,0
CHEBI:18431,,0,0,0,0,0
CHEBI:4882,,0,0,0,0,0
CHEBI:17614,,0,0,0,0,0
CHEBI:2676,,0,0,0,0,0
CHEBI:27409,,0,0,0,0,0
CHEBI:15646,,0,0,0,0,0
CHEBI:15783,,0,0,0,0,0
CHEBI:18386,,0,0,0,0,0
CHEBI:16924,,0,0,0,0,0
CHEBI:16997,,0,0,0,0,0
CHEBI:15893,,0,0,0,0,0
CHEBI:17206,,0,0,0,0,0
CHEBI:16730,,0,0,0,0,0
CHEBI:16399,,0,0,0,0,0
CHEBI:17031,,0,0,0,0,0
CHEBI:17864,,0,0,0,0,0
CHEBI:18256,,0,0,0,0,0
CHEBI:16578,,0,0,0,0,0
CHEBI:16104,,0,0,0,0,0
CHEBI:17134,,0,0,0,0,0
CHEBI:18304,,0,0,0,0,0
CHEBI:17871,,0,0,0,0,0
CHEBI:17509,,0,0,0,0,0
CHEBI:15997,,0,0,0,0,0
CHEBI:18065,,0,0,0,0,0
CHEBI:17084,,0,0,0,0,0
CHEBI:18082,,0,0,0,0,0
CHEBI:2295,,0,0,0,0,0
CHEBI:17262,,0,0,0,0,0
CHEBI:16122,,0,0,0,0,0
CHEBI:15402,,0,0,0,0,0
CHEBI:18413,,0,0,0,0,0
CHEBI:15604,,0,0,0,0,0
CHEBI:16747,,0,0,0,0,0
CHEBI:16853,,0,0,0,0,0
CHEBI:17360,,0,0,0,0,0
CHEBI:17094,,0,0,0,0,0
CHEBI:16236,,0,0,0,0,0
CHEBI:8405,,0,0,0,0,0
CHEBI:17866,,0,0,0,0,0
CHEBI:16215,,0,0,0,0,0
CHEBI:18344,,0,0,0,0,0
CHEBI:16021,,0,0,0,0,0
CHEBI:15751,,0,0,0,0,0
CHEBI:6332,,0,0,0,0,0
CHEBI:17117,,0,0,0,0,0
CHEBI:16647,,0,0,0,0,0
CHEBI:16955,,0,0,0,0,0
CHEBI:15437,,0,0,0,0,0
CHEBI:21557,,0,0,0,0,0
CHEBI:17307,,0,0,0,0,0
CHEBI:15915,,0,0,0,0,0
CHEBI:17310,,0,0,0,0,0
CHEBI:16072,,0,0,0,0,0
CHEBI:3398,,0,0,0,0,0
CHEBI:17160,,0,0,0,0,0
CHEBI:17489,,0,0,0,0,0
CHEBI:16373,,0,0,0,0,0
CHEBI:18188,,0,0,0,0,0
CHEBI:16768,,0,0,0,0,0
CHEBI:16522,,0,0,0,0,0
CHEBI:17275,,0,0,0,0,0
CHEBI:17284,,0,0,0,0,0
CHEBI:11901,,0,0,0,0,0
CHEBI:18295,,0,0,0,0,0
CHEBI:16450,,0,0,0,0,0
CHEBI:18047,,0,0,0,0,0
CHEBI:16695,,0,0,0,0,0
CHEBI:17548,,0,0,0,0,0
CHEBI:16937,,0,0,0,0,0
CHEBI:1895,,0,0,0,0,0
CHEBI:17332,,0,0,0,0,0
CHEBI:18078,,0,0,0,0,0
CHEBI:27444,,0,0,0,0,0
CHEBI:21553,,0,0,0,0,0
CHEBI:16715,,0,0,0,0,0
